圖片ID,檔案名稱,類型,角色,章節,描述,Gemini提示詞
SC02_01,scene_amy_ch1_showroom.png,場景CG,Amy,第1章,展示間初遇,"Anime style, luxury BMW car showroom with sleek modern interior. A tall professional woman (27yo) in a fitted black business suit and glasses, holding a tablet, standing next to a shiny sports car. A young man in casual clothes looking impressed. Polished marble floor reflecting lights. Clean, premium atmosphere. High quality."
SC02_02,scene_amy_ch1_explain.png,場景CG,Amy,第1章,Amy專業介紹,"Anime style, a professional saleswoman in black suit and glasses leaning on a luxury car hood, pointing at engine specs on a tablet. Confident posture, sharp eyes behind glasses. The young male customer listening attentively. Showroom lighting with spotlights on the car. Detailed car and character rendering."
SC02_03,scene_amy_ch1_cold.png,場景CG,Amy,第1章,Amy的距離感,"Anime style, a tall professional woman in a black suit adjusting her glasses with a cool, measured expression. Slight smirk. Standing in front of a luxury car with arms crossed. Cool blue-tinted lighting emphasizing her professional demeanor. Beautiful but unapproachable aura. High quality portrait."
SC02_04,scene_amy_ch2_racesuit.png,場景CG,Amy,第2章,Amy換上賽車服,"Anime style, a beautiful tall woman unzipping the top of a racing suit, revealing a tank top underneath. Short ponytail, confident grin, taking off her glasses. Race track pit lane background with sports cars. Dynamic pose, wind in her hair. Transformation from office lady to racer. Exciting atmosphere. High quality."
SC02_05,scene_amy_ch2_driving.png,場景CG,Amy,第2章,賽道狂飆,"Anime style, inside a racing car cockpit view. A woman with determined eyes driving at high speed on a race track, hands gripping the steering wheel. Speed lines and motion blur. The male passenger gripping his seat with a mix of terror and excitement. Adrenaline-pumping scene. Dynamic camera angle. High quality."
SC02_06,scene_amy_ch2_smile.png,場景CG,Amy,第2章,Amy的真心笑容,"Anime style, a beautiful woman leaning against a sports car in the pit lane, hair messy from racing, genuine relaxed smile. Racing suit half-unzipped. Sunset light on the race track behind her. First time showing her real personality. Warm and cool contrast lighting. Attractive and natural expression. High quality portrait."
SC02_07,scene_amy_ch3_overtime.png,場景CG,Amy,第3章,深夜獨自加班,"Anime style, a tired professional woman sitting alone in a dimly lit car showroom office at night. Glasses off, rubbing her temples. Suit jacket draped over chair, wearing a white blouse with top button undone. Canned coffee and papers on desk. City lights through window. Lonely and vulnerable atmosphere. Moody lighting. High quality."
SC02_08,scene_amy_ch3_comfort.png,場景CG,Amy,第3章,4J帶宵夜來,"Anime style, a young man standing at an office door holding a bag of Taiwanese fried chicken and bubble tea, smiling warmly. A tired businesswoman at her desk looking up in surprise. Warm light from the hallway contrasting with the dim office. Heartwarming moment. Simple but touching scene. High quality."
SC02_09,scene_amy_ch3_vulnerable.png,場景CG,Amy,第3章,Amy卸下防備的表情,"Anime style, intimate close-up of a beautiful woman without her glasses, hair slightly messy, looking at the viewer with vulnerable, slightly teary eyes while eating fried chicken. Soft warm lighting from a desk lamp. Genuine emotion breaking through her tough exterior. Beautiful and raw expression. High quality portrait."
SC02_10,scene_amy_ch4_convertible.png,場景CG,Amy,第4章,敞篷車夜景,"Anime style, a luxury convertible car parked on a mountain overlook at night. Taipei city lights panorama below. A man and woman reclining in the car seats looking up at a starry sky. The car roof is open. Romantic and serene atmosphere. Cool night colors with warm city light glow. Cinematic wide shot. High quality."
SC02_11,scene_amy_ch4_moonlight.png,場景CG,Amy,第4章,月光下的Amy,"Anime style, breathtaking portrait of a beautiful woman lying back in a convertible car seat, moonlight illuminating her face. Hair spread out, glasses off, looking sideways with tender eyes. Stars visible above. Her white blouse slightly open at the collar. Ethereal moonlight glow. Deeply romantic atmosphere. Ultra high quality."
SC02_12,scene_amy_ch4_intimate.png,場景CG,Amy,第4章,親密時刻,"Anime style, intimate scene inside a convertible under the stars on a mountain. A couple leaning close to each other, faces inches apart. City lights bokeh in the background. The woman's hand on the man's cheek. Starlight and moonlight. Passionate and tender atmosphere. Beautiful color palette of deep blue and warm gold. High quality."
SC02_13,scene_amy_ch5_shop.png,場景CG,Amy,第5章,改裝車店開幕,"Anime style, a cool custom car garage grand opening. A tall woman and young man standing proudly under a new shop sign. Modified sports cars inside. Industrial chic decor with exposed brick and neon signs. Both wearing matching work jackets. Confident poses. Exciting and triumphant atmosphere. High quality."
SC02_14,scene_amy_ch5_keychain.png,場景CG,Amy,第5章,鑰匙項鍊,"Anime style, close-up of a beautiful woman hanging a small car key pendant necklace around a young man's neck. Her hands delicate against his chest. Both smiling warmly. Soft workshop lighting behind them. Symbolic and intimate moment. Warm color tone. High quality detailed illustration."
SC02_15,scene_amy_ch5_ending_cg.png,場景CG,Amy,第5章,結局CG,"Anime style, ending CG illustration. A couple standing back-to-back leaning on each other in front of a custom sports car, both in racing jackets. City night skyline behind them. The woman has confident smile, the man looks determined. Wind blowing their hair. Dynamic and romantic composition. Ultra high quality poster illustration."
SC03_01,scene_yuki_ch1_cabin.png,場景CG,Yuki,第1章,商務艙初遇,"Anime style, inside a luxury airplane business class cabin. A beautiful flight attendant with black hair in an elegant bun, wearing a fitted navy blue uniform, bending down to help a young male passenger adjust his seat. Her hair strand brushing near his face. Soft cabin lighting, warm atmosphere. Detailed airplane interior. High quality."
SC03_02,scene_yuki_ch1_smile.png,場景CG,Yuki,第1章,Yuki的服務微笑,"Anime style, portrait of a beautiful half-Japanese flight attendant (25yo) with perfect posture, holding a serving tray. Professional warm smile, dark hair in elegant bun with a small pin. Navy blue uniform with silk scarf. Airplane cabin aisle background with soft lighting. Graceful and enchanting presence. High quality."
SC03_03,scene_yuki_ch1_chat.png,場景CG,Yuki,第1章,短暫聊天,"Anime style, a flight attendant crouching beside a business class passenger's seat, chatting casually. She's resting her chin on her hand on the armrest. Warm cabin night lighting, other passengers sleeping in background. Intimate and quiet conversation moment. Soft blue ambient lighting. High quality."
SC03_04,scene_yuki_ch2_casual.png,場景CG,Yuki,第2章,便裝的Yuki,"Anime style, a stunning Japanese-Taiwanese girl in a simple white sundress with long straight black hair flowing freely, standing in an airport terminal. Completely different aura from her uniformed self. Carrying a small suitcase. Natural beauty, gentle expression. Modern airport interior with large windows showing airplanes. High quality."
SC03_05,scene_yuki_ch2_ramen.png,場景CG,Yuki,第2章,機場拉麵店,"Anime style, a young couple sitting at a small Japanese ramen counter in an airport. The girl with long black hair slurping ramen cutely, the boy watching her with a smile. Warm steam rising from bowls. Cozy ramen shop atmosphere with Japanese lanterns. Casual and heartwarming scene. Warm color palette. High quality."
SC03_06,scene_yuki_ch2_story.png,場景CG,Yuki,第2章,Yuki述說身世,"Anime style, a beautiful girl with long black hair looking out a large airport window at sunset, planes on the tarmac. Her reflection visible in the glass. Melancholic but serene expression. A young man sitting beside her listening attentively. Golden sunset light flooding the terminal. Emotional and cinematic atmosphere. High quality."
SC03_07,scene_yuki_ch3_yukata.png,場景CG,Yuki,第3章,浴衣漫步嵐山,"Anime style, a beautiful couple in traditional Japanese yukata walking through the famous Arashiyama bamboo grove in Kyoto. The girl in a floral light blue yukata with her long black hair partly up, the boy in a dark blue yukata. Sunlight filtering through tall bamboo. Magical and serene Japanese atmosphere. Highly detailed. High quality."
SC03_08,scene_yuki_ch3_torii.png,場景CG,Yuki,第3章,鳥居下躲雨,"Anime style, a couple sheltering under a small red torii gate at a Japanese shrine during rain. The girl in yukata leaning her head on the boy's shoulder with closed eyes and peaceful smile. Rain pouring around them but they're dry under the gate. Atmospheric rain effects, lush green moss and stone lanterns. Romantic and peaceful. High quality."
SC03_09,scene_yuki_ch3_sleeve.png,場景CG,Yuki,第3章,用袖子擋雨,"Anime style, close-up of a young man in yukata extending his wide sleeve to shield a beautiful girl from rain. She looks up at him with touched, loving expression. Rain droplets on the fabric. Red torii gate framing them. Intimate and tender moment. Beautiful water and fabric details. Warm emotional lighting. High quality."
SC03_10,scene_yuki_ch4_onsen.png,場景CG,Yuki,第4章,溫泉場景,"Anime style, a beautiful outdoor Japanese hot spring (onsen) at night. Steam rising from the water. A woman partially submerged, long black hair flowing on the water surface, looking up at the moon. Surrounded by natural rocks and bamboo fence. Cherry blossoms falling. Mystical and sensual atmosphere. Beautiful lighting. High quality."
SC03_11,scene_yuki_ch4_yukata_room.png,場景CG,Yuki,第4章,旅館房間,"Anime style, traditional Japanese ryokan tatami room at night. A beautiful girl in a loose white yukata robe, slightly flushed cheeks from the hot spring, holding a beer can. Sitting by an open sliding door overlooking a moonlit Japanese garden. Her hair is down and slightly damp. Relaxed and intimate atmosphere. Warm room lighting. High quality."
SC03_12,scene_yuki_ch4_approach.png,場景CG,Yuki,第4章,Yuki靠近,"Anime style, intimate tatami room scene. A beautiful woman in a loose yukata leaning close to a man, her face flushed pink, eyes half-lidded with emotion. Moonlight through shoji screens casting soft shadows. Japanese garden visible outside. Beer cans on low table. Sensual and tender atmosphere. Warm and cool light contrast. High quality."
SC03_13,scene_yuki_ch5_airport.png,場景CG,Yuki,第5章,機場接機,"Anime style, airport arrival gate scene. A young man holding white lilies waiting at the gate. A beautiful flight attendant in uniform running towards him with open arms and the brightest smile. Other passengers and crew watching warmly. Bright airport lighting. Joyful and emotional reunion scene. High quality."
SC03_14,scene_yuki_ch5_reunion.png,場景CG,Yuki,第5章,擁抱重逢,"Anime style, emotional embrace at an airport. A flight attendant jumping into a young man's arms, her hat flying off, white lilies scattered around them. Both have tears of joy. Motion blur on background passengers. Dynamic and emotional composition. Warm lighting. Beautiful moment frozen in time. High quality."
SC03_15,scene_yuki_ch5_ending_cg.png,場景CG,Yuki,第5章,結局CG,"Anime style, ending CG illustration. A couple watching sunset from an airport observation deck. The woman in flight attendant uniform leaning on the man's shoulder. Planes taking off in the background against a gorgeous orange-purple sky. Their silhouettes framed by the window. Peaceful and romantic. Ultra high quality poster illustration."
SC04_01,scene_rebecca_ch1_gala.png,場景CG,Rebecca,第1章,扶輪社宴會廳,"Anime style, luxurious five-star hotel ballroom gala event. Crystal chandeliers, elegant guests in formal wear. A young man in a simple suit looking out of place among wealthy socialites. A stunning mature woman (38yo) in a red evening gown approaching him with a wine glass. Opulent and intimidating atmosphere. High quality."
SC04_02,scene_rebecca_ch1_intro.png,場景CG,Rebecca,第1章,Rebecca遞名片,"Anime style, a glamorous mature woman in a red evening dress with pearl jewelry, elegantly extending a business card to a nervous young man. Her expression is amused and intrigued. Close-up composition showing the contrast between her luxury and his simplicity. Warm ballroom lighting with chandelier bokeh. High quality."
SC04_03,scene_rebecca_ch1_wine.png,場景CG,Rebecca,第1章,紅酒對話,"Anime style, a sophisticated mature woman with curled shoulder-length hair, swirling a glass of red wine, looking at a young man with a mysterious smile. She's wearing diamond earrings and a red dress. The young man holds his wine glass awkwardly. Intimate conversation at a gala. Warm golden ambient lighting. High quality portrait."
SC04_04,scene_rebecca_ch2_lounge.png,場景CG,Rebecca,第2章,私人會所下午茶,"Anime style, an ultra-luxurious private lounge with floor-to-ceiling windows overlooking a city skyline. A glamorous mature woman in designer clothes pouring tea for a young man on a velvet sofa. Afternoon sunlight streaming in. Expensive decor, fresh flowers, macarons on the table. Elegant and slightly tense atmosphere. High quality."
SC04_05,scene_rebecca_ch2_tie.png,場景CG,Rebecca,第2章,調整領帶,"Anime style, close-up of a mature elegant woman's manicured hands adjusting a young man's necktie. Her fingers lingering near his collar. She's looking up at him with a knowing smile. His face slightly flushed. Intimate distance between them. Soft luxury interior lighting. Sensual tension in the composition. High quality."
SC04_06,scene_rebecca_ch2_wine_lesson.png,場景CG,Rebecca,第2章,品酒教學,"Anime style, a sophisticated mature woman teaching a young man to taste wine. Their faces very close as she guides his hand holding the glass. Warm intimate lighting in a private lounge. Wine bottles and crystal glasses on the table. Seductive and educational atmosphere simultaneously. High quality."
SC04_07,scene_rebecca_ch3_golf.png,場景CG,Rebecca,第3章,高爾夫球場,"Anime style, a private golf course on a sunny day. A glamorous mature woman in a white polo shirt and short golf skirt standing behind a young man, arms around him to correct his golf swing. Her body pressed against his back. Green manicured fairway, luxury golf cart nearby. Playful and flirtatious atmosphere. High quality."
SC04_08,scene_rebecca_ch3_cart.png,場景CG,Rebecca,第3章,球車上的對話,"Anime style, two people sitting in a luxury golf cart on a beautiful course. A mature elegant woman looking distant and vulnerable, her playful mask dropped. The young man listening with genuine concern. Afternoon light casting long shadows on the green. A moment of real emotion. Contemplative atmosphere. High quality."
SC04_09,scene_rebecca_ch3_lonely.png,場景CG,Rebecca,第3章,Rebecca的寂寞,"Anime style, portrait of a beautiful mature woman (38yo) sitting alone on a golf course bench, looking at her diamond wedding ring with a sad expression. Curled hair slightly windswept. Luxury watch and jewelry contrasting with her lonely demeanor. Gorgeous sunset behind rolling green hills. Bittersweet and melancholic. High quality."
SC04_10,scene_rebecca_ch4_mansion.png,場景CG,Rebecca,第4章,豪宅夜景,"Anime style, a stunning hillside mansion at night in the rain. Floor-to-ceiling windows glowing with warm interior light. A luxury car pulling up to the entrance. Dramatic rain and lightning. Mysterious and atmospheric scene. High quality architectural illustration."
SC04_11,scene_rebecca_ch4_robe.png,場景CG,Rebecca,第4章,絲質睡袍的Rebecca,"Anime style, a beautiful mature woman in a silk robe standing by an indoor infinity pool in a luxury mansion. Her hair is down and natural, no jewelry. Vulnerable and real. Blue pool light reflecting on her face. Floor-to-ceiling windows showing rainy night city lights. Intimate and raw beauty. High quality."
SC04_12,scene_rebecca_ch4_pool.png,場景CG,Rebecca,第4章,泳池邊的真心話,"Anime style, two people sitting at the edge of a luxury indoor pool in a mansion, feet in the water. A mature woman in a silk robe looking at a young man with genuine emotion, her usual confident facade completely gone. Blue-green pool reflections dancing on the ceiling. Rain on the windows. Deeply intimate and emotional scene. High quality."
SC04_13,scene_rebecca_ch5_paris.png,場景CG,Rebecca,第5章,巴黎咖啡店,"Anime style, a charming Parisian sidewalk cafe by the Seine River. A glamorous mature woman and a young man sitting at a small table with espresso. She's showing him a business plan. Eiffel Tower visible in the distance. Autumn leaves falling. Sophisticated and hopeful atmosphere. Beautiful European cityscape. High quality."
SC04_14,scene_rebecca_ch5_eiffel.png,場景CG,Rebecca,第5章,鐵塔下的擁吻,"Anime style, romantic scene of a couple kissing under the Eiffel Tower at golden hour. The mature elegant woman in a chic coat, the young man in a nice jacket. Autumn Parisian atmosphere. Warm golden sunset light. Fallen leaves swirling around them. Cinematic wide shot with the tower framing them. Breathtaking and romantic. High quality."
SC04_15,scene_rebecca_ch5_ending_cg.png,場景CG,Rebecca,第5章,結局CG,"Anime style, ending CG illustration. A confident couple standing in front of their new elegant kitchenware boutique in Paris with a bilingual Chinese-French sign. The woman in a chic business outfit, the man in a tailored suit. Both looking at the viewer with confident smiles. Parisian architecture background. Success and love. Ultra high quality poster illustration."
UI_01,ui_title_screen.png,UI介面,-,-,遊戲標題畫面,"Anime style game title screen. Stylish Chinese text with neon glow effect. A young man silhouette in the center with four female silhouettes around him. Taipei city skyline at sunset in background. Cherry blossom petals falling. Modern and romantic game aesthetic. 16:9 aspect ratio. High quality."
UI_02,ui_main_hub.png,UI介面,-,-,主畫面/每日行動選擇,"Anime style game UI background. A cozy Taipei apartment room with a desk, calendar on wall, and window showing city view. Five action icons should fit on screen. Warm morning lighting. Clean modern anime interior design. 16:9 aspect ratio. High quality."
UI_03,ui_status_panel.png,UI介面,-,-,角色狀態面板背景,"Anime style UI panel background. Semi-transparent dark gradient panel with gold border ornaments. Space for character portrait, stats bars, and text. Elegant and modern game UI design. Clean and readable. High quality."
UI_04,ui_dialogue_box.png,UI介面,-,-,對話框,"Anime style visual novel dialogue box. Semi-transparent dark panel at bottom of screen with rounded corners and subtle glow border. Name tag area on upper left. Clean, modern visual novel UI design. 16:9 aspect ratio reference. High quality."
UI_05,ui_map_taipei.png,UI介面,-,-,台北地圖選擇畫面,"Anime style illustrated map of Taipei city from above. Key locations marked: Nangang Exhibition Hall, BMW dealership, Songshan Airport, Grand Hotel for Rotary Club. Cute chibi-style map with vibrant colors. Isometric view. Game UI map design. High quality."
CH_00,char_4j_protagonist.png,角色立繪,4J,-,主角立繪,"Anime style, full body character portrait on transparent background. A young 22-year-old Taiwanese man with short black hair, average build, wearing a simple T-shirt and jeans. Friendly and determined expression. Everyman appearance. Clear lineart, game character design. High quality."
CH_01a,char_kaoru_normal.png,角色立繪,小薰,-,展場制服,"Anime style, full body character portrait on transparent background. A cute 22-year-old girl with long wavy brown hair, wearing a tight red exhibition showgirl uniform with a sponsor belt. Sweet smile, standing pose with hand on hip. Clear lineart, game character design. High quality."
CH_01b,char_kaoru_casual.png,角色立繪,小薰,-,便裝,"Anime style, full body character portrait on transparent background. A cute 22-year-old girl with long wavy brown hair, wearing a floral sundress and white sneakers. Cheerful expression, casual standing pose. Clear lineart, game character design. High quality."
CH_01c,char_kaoru_apron.png,角色立繪,小薰,-,花店圍裙,"Anime style, full body character portrait on transparent background. A cute 22-year-old girl with long wavy brown hair, wearing a cute floral apron over casual clothes, holding a small flower bouquet. Warm happy smile. Clear lineart, game character design. High quality."
CH_02a,char_amy_suit.png,角色立繪,Amy,-,套裝,"Anime style, full body character portrait on transparent background. A tall professional 27-year-old woman with short brown hair in ponytail, wearing a fitted black business suit, glasses, and high heels. Confident pose with arms crossed. Clear lineart, game character design. High quality."
CH_02b,char_amy_racing.png,角色立繪,Amy,-,賽車服,"Anime style, full body character portrait on transparent background. A tall 27-year-old woman in a white and red racing suit, unzipped to waist showing tank top. Ponytail, no glasses, confident grin, holding a racing helmet. Clear lineart, game character design. High quality."
CH_02c,char_amy_casual.png,角色立繪,Amy,-,便裝,"Anime style, full body character portrait on transparent background. A tall 27-year-old woman in a casual leather jacket, jeans, and boots. Hair down, no glasses. Cool and relaxed pose leaning slightly. Clear lineart, game character design. High quality."
CH_03a,char_yuki_uniform.png,角色立繪,Yuki,-,空姐制服,"Anime style, full body character portrait on transparent background. A beautiful 25-year-old half-Japanese woman with long straight black hair in elegant bun, wearing a navy blue flight attendant uniform with silk scarf, hat, and heels. Graceful standing pose. Clear lineart, game character design. High quality."
CH_03b,char_yuki_casual.png,角色立繪,Yuki,-,便裝,"Anime style, full body character portrait on transparent background. A beautiful 25-year-old half-Japanese woman with long flowing straight black hair, wearing a simple white sundress. Gentle and ethereal expression. Clear lineart, game character design. High quality."
CH_03c,char_yuki_yukata.png,角色立繪,Yuki,-,浴衣,"Anime style, full body character portrait on transparent background. A beautiful 25-year-old half-Japanese woman with long black hair in a loose updo with hair pins, wearing a light blue floral yukata. Elegant and traditional pose. Clear lineart, game character design. High quality."
CH_04a,char_rebecca_gala.png,角色立繪,Rebecca,-,晚禮服,"Anime style, full body character portrait on transparent background. A glamorous 38-year-old mature woman with curled shoulder-length dark hair, wearing a red evening gown with pearl necklace and diamond earrings. Confident and alluring pose holding a wine glass. Clear lineart, game character design. High quality."
CH_04b,char_rebecca_golf.png,角色立繪,Rebecca,-,高爾夫裝,"Anime style, full body character portrait on transparent background. A beautiful 38-year-old mature woman in a white polo shirt, short golf skirt, and visor hat. Curled hair in a ponytail. Playful sporty pose with a golf club. Clear lineart, game character design. High quality."
CH_04c,char_rebecca_robe.png,角色立繪,Rebecca,-,居家絲袍,"Anime style, full body character portrait on transparent background. A beautiful 38-year-old mature woman in an elegant silk robe, hair down naturally, no makeup or jewelry. Vulnerable but still beautiful. Relaxed standing pose. Clear lineart, game character design. High quality."
